village_name,site_name,site_id,village_id,irpg_name,irpg_id
Bak Kae,Ratanakiri,4,1,IRPG12,12
Ban Moung,Siem Pang,5,2,IRPG09,9
Bra,Preah Vihear,2,3,IRPG05,5
Chantu,Siem Pang,5,4,IRPG09,9
Chokchar,Mondolkiri,1,5,IRPG16,16
Damnak Kantout,Preah Vihear,2,6,IRPG02,2
Dan,Preah Vihear,2,7,IRPG02,2
Dan Loung,Siem Pang,5,8,IRPG09,9
Dang Phlet,Preah Vihear,2,9,IRPG05,5
Doung,Prey Lang,3,10,IRPG07,7
I-Tub,Ratanakiri,4,11,IRPG12,12
Kalan,Ratanakiri,4,12,IRPG12,12
Kampenh,Preah Vihear,2,13,IRPG03,3
Kampong Sangkae,Preah Vihear,2,14,IRPG06,6
Kanchanh Kouk,Siem Pang,5,15,IRPG10,10
Kang Cham,Prey Lang,3,16,IRPG07,7
Kang Kngaok,Prey Lang,3,17,IRPG07,7
Keng Nhai,Siem Pang,5,18,IRPG09,9
Kes,Prey Lang,3,19,IRPG07,7
Kham Keut,Preah Vihear,2,20,IRPG06,6
Kham Phouk,Siem Pang,5,21,IRPG08,8
Khes Kroam,Siem Pang,5,22,IRPG08,8
Khes Svay,Siem Pang,5,23,IRPG08,8
Kmom,Mondolkiri,1,24,IRPG16,16
Kong Yoang,Preah Vihear,2,25,IRPG03,3
Korng Nork,Ratanakiri,4,26,IRPG12,12
Krala Peas,Preah Vihear,2,27,IRPG04,4
Ktung,Mondolkiri,1,28,IRPG16,16
La Kay,Siem Pang,5,29,IRPG11,11
Narong,Preah Vihear,2,30,IRPG05,5
Nhang Sum,Siem Pang,5,31,IRPG11,11
O'Chay,Siem Pang,5,32,IRPG10,10
Okak,Preah Vihear,2,33,IRPG04,4
Ou Chra,Mondolkiri,1,34,IRPG15,15
Peam Khes,Siem Pang,5,35,IRPG10,10
Pha Bang,Siem Pang,5,36,IRPG11,11
Phum Lun,Siem Pang,5,37,IRPG09,9
Pong Kriel,Siem Pang,5,38,IRPG08,8
Pong Tek,Prey Lang,3,39,IRPG07,7
Pongro,Preah Vihear,2,40,IRPG02,2
Prey Veng,Preah Vihear,2,41,IRPG01,1
Pu Char,Mondolkiri,1,42,IRPG15,15
Pu Kung,Mondolkiri,1,43,IRPG15,15
Roveak,Ratanakiri,4,44,IRPG14,14
Sambou,Preah Vihear,2,45,IRPG01,1
Samor,Siem Pang,5,46,IRPG09,9
Siem Pang,Siem Pang,5,47,IRPG09,9
Soung,Preah Vihear,2,48,IRPG06,6
Srae Chhuk,Ratanakiri,4,49,IRPG13,13
Srae Chrey,Ratanakiri,4,50,IRPG14,14
Srae Pokthom,Ratanakiri,4,51,IRPG13,13
Srae Poktoch,Ratanakiri,4,52,IRPG13,13
Srae Russei,Siem Pang,5,53,IRPG10,10
Sre Andaol,Mondolkiri,1,54,IRPG16,16
Teteam,Siem Pang,5,55,IRPG10,10
Thmey,Ratanakiri,4,56,IRPG13,13
Tmat Paeuy,Preah Vihear,2,57,IRPG04,4
Toal,Prey Lang,3,58,IRPG07,7
Tonsong,Prey Lang,3,59,IRPG07,7
Yeang,Preah Vihear,2,60,IRPG03,3
