survey_id,farmer_uid,data_year,age,education,household_member,women,total_income_riel,spend_riel,homestead,cattle,buffalo
6640,BAK KAE|BK002,2023,,,,,,,2500,0,0
7449,BAK KAE|BK002,2024,45,Primary,10,3,12,9,142,6,0
10927,BAK KAE|BK002,2025,30,Primary,12,3,20,20,2000,4,0
6630,BAK KAE|BK003,2023,,,,,,,5600,0,0
7450,BAK KAE|BK003,2024,38,Primary,9,4,9,8,142,1,0
10928,BAK KAE|BK003,2025,15,Primary,6,3,12,10,952,1,0
7451,BAK KAE|BK004,2024,36,Primary,4,1,5,4,1000,4,0
10929,BAK KAE|BK004,2025,35,Literacy,6,1,14,10,500,5,0
6601,BAK KAE|BK006,2023,,,,,,,1350,0,0
7452,BAK KAE|BK006,2024,57,Primary,3,2,6,5,142,0,0
10930,BAK KAE|BK006,2025,23,Literacy,7,2,8,8,1200,0,0
6669,BAK KAE|BK007,2023,,,,,,,120,0,0
7453,BAK KAE|BK007,2024,23,Primary,6,4,10,9,700,6,3
7454,BAK KAE|BK008,2024,35,Primary,6,3,15,12,500,0,0
6655,BAK KAE|BK009,2023,,,,,,,400,0,0
7455,BAK KAE|BK009,2024,23,Primary,6,2,10,9,110,0,0
10931,BAK KAE|BK009,2025,32,Secondary,3,1,12,9,1500,0,0
6498,BAK KAE|BK010,2023,,,,,,,300,0,0
7456,BAK KAE|BK010,2024,48,Literacy,4,2,7,6,700,4,0
10932,BAK KAE|BK010,2025,49,Primary,6,3,12,10,2100,3,0
6547,BAK KAE|BK012,2023,,,,,,,400,0,0
7457,BAK KAE|BK012,2024,40,Literacy,5,2,70,60,780,0,0
10933,BAK KAE|BK012,2025,41,Secondary,5,2,28,25,1800,0,0
6497,BAK KAE|BK013,2023,,,,,,,600,0,0
7458,BAK KAE|BK013,2024,31,High school,6,2,40,35,800,17,0
10934,BAK KAE|BK013,2025,32,High school,6,3,35,28,900,19,0
6715,BAK KAE|BK014,2023,,,,,,,500,0,0
7459,BAK KAE|BK014,2024,30,Literacy,9,3,10,9,500,1,0
10935,BAK KAE|BK014,2025,31,Primary,9,3,40,35,1800,0,0
10936,BAK KAE|BK015,2025,38,Secondary,6,4,20,20,600,3,0
6449,BAK KAE|BK017,2023,,,,,,,500,0,0
7460,BAK KAE|BK017,2024,58,Literacy,5,2,19,18,600,6,0
10937,BAK KAE|BK017,2025,49,Literacy,5,2,10,7,830,4,0
6511,BAK KAE|BK018,2023,,,,,,,800,0,0
7461,BAK KAE|BK018,2024,38,Primary,7,3,11,10,700,9,0
10938,BAK KAE|BK018,2025,38,Literacy,5,3,7,6,600,5,0
6667,BAK KAE|BK019,2023,,,,,,,1050,0,0
7462,BAK KAE|BK019,2024,40,Primary,7,4,10,7,133,7,0
10939,BAK KAE|BK019,2025,28,Primary,8,3,10,11,500,9,0
6438,BAK KAE|BK020,2023,,,,,,,1600,0,0
7463,BAK KAE|BK020,2024,40,Primary,6,3,11,10,800,7,0
10940,BAK KAE|BK020,2025,39,Primary,7,4,10,10,500,0,0
6633,BAK KAE|BK022,2023,,,,,,,600,0,0
7464,BAK KAE|BK022,2024,65,Primary,5,2,10,9,172,0,0
10941,BAK KAE|BK022,2025,25,Primary,4,2,8,5,3200,0,0
7465,BAK KAE|BK023,2024,38,Primary,4,1,9,7,133,0,0
6617,BAK KAE|BK024,2023,,,,,,,2000,0,0
7466,BAK KAE|BK024,2024,40,Primary,4,3,9,7,500,0,0
10942,BAK KAE|BK024,2025,38,Literacy,4,3,10,9,800,0,0
6448,BAK KAE|BK025,2023,,,,,,,1800,0,0
7467,BAK KAE|BK025,2024,45,Primary,4,2,9,8,142,0,0
10943,BAK KAE|BK025,2025,52,Literacy,6,3,6,6,800,5,0
6489,BAK KAE|BK026,2023,,,,,,,600,0,0
7468,BAK KAE|BK026,2024,40,Primary,4,2,10,9,120,0,0
6417,BAK KAE|BK027,2023,,,,,,,950,0,0
7469,BAK KAE|BK027,2024,23,Primary,4,2,10,9,110,0,0
