purchase_id,farmer_uid,data_year,purchase_date,variety,status,unit_price_riel,quantity_kg,number_of_sacks,total_amount_riel,total_payment_riel,borrowed_seed_kg,returned_seed_kg
1,PREY VENG|PV003,2019,12/7/2019,Phka Rumduol,Organic,1650,3746,,6180900,6180900,,
2,PREY VENG|PV004,2019,12/7/2019,Phka Rumduol,Organic,1700,5682,,9659400,9514900,,85
3,PREY VENG|PV007,2019,12/7/2019,Phka Rumduol,Organic,1650,1805,,2978250,2978250,,
4,PREY VENG|PV012,2019,12/7/2019,Phka Rumduol,Organic,1700,1172,,1992400,1992400,,
5,PREY VENG|PV013,2019,12/7/2019,Phka Rumduol,Organic,1650,2000,,3300000,3300000,,
6,PREY VENG|PV013,2019,12/8/2019,Local Variety,Organic,1350,1666,,2249100,2249100,,
7,PREY VENG|PV017,2019,12/7/2019,Phka Rumduol,Organic,1750,1717,,3004750,2831500,,99
8,PREY VENG|PV018,2019,12/7/2019,Phka Rumduol,Organic,1700,930,,1581000,1581000,,
9,PREY VENG|PV024,2019,12/7/2019,Phka Rumduol,Organic,1700,2061,,3503700,3316700,,110
10,PREY VENG|PV024,2019,12/7/2019,Phka Rumduol,Organic,1650,2296,,3788400,3788400,,
11,PREY VENG|PV025,2019,12/7/2019,Phka Rumduol,Organic,1650,2083,,3436950,3346200,,55
12,PREY VENG|PV028,2019,12/7/2019,Phka Rumduol,Organic,1700,2774,,4715800,4622300,,55
13,PREY VENG|PV033,2019,12/7/2019,Phka Rumduol,Organic,1650,4536,,7484400,7484400,,
14,PREY VENG|PV039,2019,12/8/2019,Phka Rumduol,Organic,1650,1105,,1823250,1823250,,
15,PREY VENG|PV045,2019,12/7/2019,Phka Rumduol,Organic,1650,3683,,6076950,5745300,,201
16,PREY VENG|PV046,2019,12/7/2019,Phka Rumduol,Organic,1650,812,,1339800,1339800,,
17,PREY VENG|PV048,2019,12/8/2019,Phka Rumduol,Organic,1700,2207,,3751900,3751900,,
18,PREY VENG|PV048,2019,12/20/2019,Local Variety,Organic,1400,1663,,2328200,2328200,,
19,PREY VENG|PV049,2019,12/7/2019,Phka Rumduol,Organic,1650,3641,,6007650,5875650,,80
20,PREY VENG|PV051,2019,12/7/2019,Phka Rumduol,Organic,1650,928,,1531200,1349700,,110
21,PREY VENG|PV052,2019,12/7/2019,Phka Rumduol,Organic,1750,1371,,2399250,2399250,,
