spec_id,farmer_uid,data_year,moisture,color,rice_impurity,rice_husk,good_grain_pct,broken_grain_pct,grade,variety,status,price_riel
1,PREY VENG|PV012,2020,13.7,Good,2,0.8,66,34,B1,Phka Rumduol,Organic,1700
2,PREY VENG|PV024,2020,12,Good,0,0.86,,,A1,Certified Seed,Organic,1850
3,PREY VENG|PV024,2020,12,Good,0,0.21,,,A1,Sbai Mongkul foundation seed,Organic,1950
4,PREY VENG|PV025,2020,14.3,Good,1.6,1.38,50,50,B2,Phka Rumduol,Organic,1650
5,PREY VENG|PV045,2020,13.6,Good,0.3,2.2,85,15,A,Phka Rumduol,Ibis I,1500
6,PREY VENG|PV049,2020,13.9,Good,0.52,1.14,70,30,A2,Phka Rumduol,Organic,1750
7,PREY VENG|PV060,2020,12,Good,0,0.68,,,A1,Certified Seed,Organic,1850
8,PREY VENG|PV060,2020,14.6,Good,0.02,1,70,30,B1,Sticky Rice,Organic,1700
9,PREY VENG|PV060,2020,12.9,Good,0.24,0.98,76,24,A1,Phka Rumduol,Organic,1850
10,PREY VENG|PV067,2020,16,Good,3.74,4.84,72,28,B2,Phka Rumduol,Organic,1650
11,PREY VENG|PV068,2020,15,,,0.42,,,A,White Rice,Organic,1400
12,PREY VENG|PV068,2020,14.8,Good,0.6,1.06,64,36,B1,Phka Rumduol,Organic,1700
13,PREY VENG|PV074,2020,14.5,Good,1.14,0.8,50,50,B2,Phka Rumduol,Organic,1650
14,PREY VENG|PV076,2020,15,Good,0,0.6,54,46,B2,Sticky Rice,Organic,1650
15,PREY VENG|PV076,2020,13.4,Good,0.91,1.5,84,16,A1,Phka Rumduol,Organic,1850
16,PREY VENG|PV084,2020,15,Good,,0.3,,100,B,White Rice,Organic,1350
17,PREY VENG|PV090,2020,14.8,Good,0.08,3,,100,A,White Rice,Organic,1400
18,PREY VENG|PV090,2020,14.5,Good,0.68,0.94,64,36,B1,Phka Rumduol,Organic,1700
19,PREY VENG|PV096,2020,15,Good,1.14,0.28,82,18,A,Phka Rumduol,Ibis I,1500
20,PREY VENG|PV097,2020,13.5,Good,0.1,1,60,40,B,Phka Rumduol,Ibis I,1450
21,PREY VENG|PV098,2020,13.9,Good,0.7,4.28,70,30,A,Phka Rumduol,Ibis I,1500
22,PREY VENG|PV108,2020,14,Good,0.7,0.78,60,40,B,Phka Rumduol,Ibis I,1450
23,PREY VENG|PV114,2020,13,Good,0.48,0.68,80,20,A1,Phka Rumduol,Organic,1850
24,SAMBOU|SB004,2020,13.9,Good,2.64,3.2,50,50,B2,Phka Rumduol,Organic,1650
25,SAMBOU|SB033,2020,13.9,Good,1.26,2.2,50,50,B2,Phka Rumduol,Organic,1650
26,SAMBOU|SB037,2020,13.8,Good,1.26,4.84,54,46,B2,Phka Rumduol,Organic,1650
27,SAMBOU|SB049,2020,14.4,Good,0.12,2.86,70,30,A,Phka Rumduol,Ibis I,1500
28,SAMBOU|SB054,2020,14.8,,,0.92,,,B,White Rice,Organic,1350
29,SAMBOU|SB054,2020,13.8,Good,0.12,4.26,56,44,B2,Phka Rumduol,Organic,1650
30,SAMBOU|SB057,2020,14.9,Good,1.58,6.2,72,28,B1,Phka Rumduol,Organic,1700
31,SAMBOU|SB058,2020,14.5,,,0.88,,,B,White Rice,Organic,1350
32,SAMBOU|SB058,2020,14.4,Good,1.02,5.88,68,32,B1,Phka Rumduol,Organic,1700
33,SAMBOU|SB063,2020,14,Good,0.3,6,60,40,B,Phka Rumduol,Ibis I,1450
34,SAMBOU|SB065,2020,14.5,Good,0.28,5.72,62,38,B1,Phka Rumduol,Organic,1700
35,SAMBOU|SB066,2020,14.5,Good,0.12,2.08,68,32,B1,Phka Rumduol,Organic,1700
36,SAMBOU|SB073,2020,15,Good,0.7,6.36,68,32,B,Phka Rumduol,Ibis I,1450
37,SAMBOU|SB083,2020,15,Good,1.02,2.86,50,50,B,Phka Rumduol,Ibis I,1450
38,SAMBOU|SB087,2020,14.9,,,0.52,,,B,White Rice,Organic,1350
39,SAMBOU|SB087,2020,14.8,Good,5.6,2.9,52,48,B2,Phka Rumduol,Organic,1650
40,SAMBOU|SB088,2020,13.9,Good,0.24,4.68,50,50,B2,Phka Rumduol,Organic,1650
41,SAMBOU|SB091,2020,14.4,Good,5.82,5.96,76,24,B2,Phka Rumduol,Organic,1650
42,SAMBOU|SB092,2020,14.6,Good,5,2.62,50,50,B,Phka Rumduol,Ibis I,1450
43,SAMBOU|SB096,2020,14.2,Good,0.26,2.48,74,26,A,Phka Rumduol,Ibis I,1500
44,SAMBOU|SB123,2020,14.8,Good,0.62,1.08,52,48,B,Phka Rumduol,Ibis I,1450
45,SAMBOU|SB126,2020,14.6,Good,2.68,1.9,50,50,B2,Phka Rumduol,Organic,1650
46,KAMPENH|KH001,2020,13.8,Good,0.1,1.63,60,40,B1,Phka Rumduol,Organic,1700
47,KAMPENH|KH001,2020,15,Good,0.1,2,70,30,A2,Sticky Rice,Organic,1750
48,KAMPENH|KH001,2020,14.6,,,3,,,A,White Rice,Organic,1400
49,KAMPENH|KH003,2020,15,Good,0.1,4.5,64,36,B1,Phka Rumduol,Organic,1700
50,KAMPENH|KH003,2020,14.2,Good,0.4,1.3,60,40,B1,Sticky Rice,Organic,1700
51,KAMPENH|KH004,2020,15.5,Good,0.4,4,64,36,B1,Sticky Rice,Organic,1700
